[2025-05-19 20:45:32,586: INFO: main: Hello World]
[2025-05-19 20:45:51,645: INFO: main: Hello World2 ]
[2025-05-20 11:50:50,341: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 11:50:50,343: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 11:50:50,344: INFO: common: created directory at: artifacts]
[2025-05-20 11:50:50,344: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-20 11:50:50,345: INFO: 4141412014: Downloading data from https://drive.google.com/file/d/10lkNpDiT56X4hWknZjlo8jf9g1Tvb_Cb/view?usp=sharing into file kidney-data.zip]
[2025-05-20 11:51:19,132: INFO: 4141412014: Downloaded data from https://drive.google.com/file/d/10lkNpDiT56X4hWknZjlo8jf9g1Tvb_Cb/view?usp=sharing into file kidney-data.zip]
[2025-05-20 11:51:29,319: INFO: 4141412014: Unzipped data from kidney-data.zip into artifacts/data_ingestion]
[2025-05-20 12:19:13,749: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-20 12:19:13,749: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-05-20 12:19:13,750: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-20 12:19:13,750: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-20 12:19:13,750: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/10lkNpDiT56X4hWknZjlo8jf9g1Tvb_Cb/view?usp=sharing into file kidney-data.zip]
[2025-05-20 12:19:42,790: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/10lkNpDiT56X4hWknZjlo8jf9g1Tvb_Cb/view?usp=sharing into file kidney-data.zip]
[2025-05-20 12:19:51,140: INFO: data_ingestion: Unzipped data from kidney-data.zip into artifacts/data_ingestion]
[2025-05-20 12:19:51,143: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<]
